Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.04.13 00:00:00,1.37401000,1.37685000,1.36937000,1.37507000,1.37827667,1.38237769,1.38480923,1.36710846,45.07157900
2021.04.14 00:00:00,1.37500000,1.38084000,1.37462000,1.37773000,1.37767333,1.38195731,1.38503462,1.36762038,47.67545758
2021.04.15 00:00:00,1.37773000,1.38088000,1.37614000,1.37829000,1.37713667,1.38137923,1.38525769,1.36811269,48.17198432
2021.04.16 00:00:00,1.37824000,1.38407000,1.37160000,1.38404000,1.37649000,1.38080731,1.38563635,1.36867087,52.50987316
2021.04.19 00:00:00,1.38300000,1.39925000,1.38095000,1.39846000,1.37829556,1.38105962,1.38623846,1.36933904,63.73098414
2021.04.20 00:00:00,1.39853000,1.40090000,1.39260000,1.39371000,1.38051778,1.38120192,1.38662462,1.36992817,59.11733054
2021.04.21 00:00:00,1.39371000,1.39495000,1.38855000,1.39271000,1.38268000,1.38133731,1.38698846,1.37047490,58.17773725
2021.04.22 00:00:00,1.39272000,1.39494000,1.38235000,1.38381000,1.38418778,1.38087115,1.38703212,1.37090962,50.43736589
2021.04.23 00:00:00,1.38382000,1.38953000,1.38324000,1.38844000,1.38580667,1.38070500,1.38713404,1.37141702,53.03002154
2021.04.26 00:00:00,1.38746000,1.39290000,1.38639000,1.38981000,1.38744444,1.38083923,1.38729519,1.37198442,54.85724596
2021.04.27 00:00:00,1.38980000,1.39239000,1.38585000,1.39107000,1.38892667,1.38103923,1.38740558,1.37255106,55.81325214
2021.04.28 00:00:00,1.39107000,1.39504000,1.38610000,1.39331000,1.39059556,1.38174577,1.38746981,1.37304577,57.48716390
2021.04.29 00:00:00,1.39328000,1.39764000,1.39317000,1.39399000,1.39170111,1.38271846,1.38754250,1.37359904,58.03720932
2021.04.30 00:00:00,1.39398000,1.39580000,1.38025000,1.38125000,1.38978889,1.38300500,1.38745192,1.37394712,46.12529902
2021.05.03 00:00:00,1.38092000,1.39317000,1.38009000,1.39081000,1.38946667,1.38345269,1.38732808,1.37440260,53.88872359
2021.05.04 00:00:00,1.39083000,1.39131000,1.38380000,1.38854000,1.38900333,1.38393577,1.38709942,1.37488962,52.03169182
2021.05.05 00:00:00,1.38856000,1.39259000,1.38760000,1.39033000,1.38972778,1.38456769,1.38679654,1.37541442,53.46115260
2021.05.06 00:00:00,1.39043000,1.39404000,1.38564000,1.38878000,1.38976556,1.38498346,1.38636423,1.37588183,52.00150812
2021.05.07 00:00:00,1.38878000,1.40055000,1.38852000,1.39867000,1.39075000,1.38558000,1.38607154,1.37655087,60.40570711
2021.05.10 00:00:00,1.40046000,1.41580000,1.39939000,1.41166000,1.39303778,1.38667769,1.38628231,1.37740375,66.40867355
2021.05.11 00:00:00,1.41166000,1.41660000,1.41038000,1.41410000,1.39534778,1.38761000,1.38669385,1.37818471,67.56740838
2021.05.12 00:00:00,1.41411000,1.41531000,1.40499000,1.40521000,1.39659444,1.38849462,1.38693885,1.37875644,59.52970419
2021.05.13 00:00:00,1.40520000,1.40780000,1.40056000,1.40491000,1.39922333,1.38969462,1.38712615,1.37927692,59.22757044
2021.05.14 00:00:00,1.40485000,1.41106000,1.40355000,1.40965000,1.40131667,1.39109462,1.38741058,1.37977048,62.15662074
2021.05.17 00:00:00,1.40982000,1.41463000,1.40772000,1.41376000,1.40411889,1.39276846,1.38787981,1.38038587,64.16600525
2021.05.18 00:00:00,1.41360000,1.42199000,1.41294000,1.41846000,1.40724444,1.39448346,1.38856346,1.38108183,66.81654278
2021.05.19 00:00:00,1.41854000,1.42007000,1.40994000,1.41128000,1.40974444,1.39587615,1.38912692,1.38180702,60.00730669
2021.05.20 00:00:00,1.41129000,1.41922000,1.41009000,1.41891000,1.41199333,1.39746000,1.38970865,1.38247885,64.16165436
2021.05.21 00:00:00,1.41891000,1.42334000,1.41405000,1.41504000,1.41236889,1.39887346,1.39012635,1.38307192,60.89947160
2021.05.24 00:00:00,1.41536000,1.41715000,1.41113000,1.41549000,1.41252333,1.40008308,1.39044519,1.38374865,60.94574694
2021.05.25 00:00:00,1.41546000,1.42107000,1.41153000,1.41489000,1.41359889,1.40071500,1.39088731,1.38437231,60.33330119
2021.05.26 00:00:00,1.41483000,1.41757000,1.41122000,1.41157000,1.41433889,1.40140192,1.39130192,1.38484538,57.20054211
2021.05.27 00:00:00,1.41163000,1.42192000,1.40912000,1.42034000,1.41552667,1.40246462,1.39190096,1.38536913,62.70518159
